# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles:u'
# Event count (approx.): 1956954042668
#
# Children      Self       Samples  Symbol                           IPC   [IPC Coverage]
# ........  ........  ............  ...............................  ....................
#
    51.32%    51.30%         24322  [.] _sha256sse::Transform        -      -            
    25.92%     0.00%             0  [.] 0x00007e67ef694ac3           -      -            
    22.93%     1.32%           629  [.] thread_process               -      -            
    19.38%    19.37%          9185  [.] ripemd160sse_32              -      -            
     3.90%     3.90%          1850  [.] XXH64_finalize               -      -            
     3.89%     3.89%          1850  [.] Int::ModMulK1                -      -            
     2.91%     2.91%          1380  [.] Int::ModMulK1                -      -            
     2.35%     2.35%          1117  [.] Int::ModSquareK1             -      -            
     1.92%     1.92%           908  [.] bloom_check                  -      -            
     1.55%     1.55%           735  [.] Int::Neg                     -      -            
     1.39%     1.39%           657  [.] Secp256K1::GetHash160        -      -            
     0.94%     0.94%           443  [.] Int::IsNegative              -      -            
     0.86%     0.86%           412  [.] Int::Add                     -      -            
     0.85%     0.85%           404  [.] XXH64                        -      -            
     0.85%     0.85%           401  [.] Secp256K1::GetHash160_fromX  -      -            
     0.83%     0.83%           391  [.] Int::Sub                     -      -            
     0.79%     0.67%           307  [.] Int::ModInv                  -      -            
     0.75%     0.75%           357  [.] Int::Mult                    -      -            
     0.62%     0.62%           295  [.] Int::ModSub                  -      -            
     0.54%     0.54%           255  [.] Int::Sub                     -      -            
     0.53%     0.53%           253  [.] Int::Set                     -      -            
     0.50%     0.50%           236  [.] Int::ModAdd                  -      -            
     0.50%     0.50%           237  [.] sha256sse_1B                 -      -            
     0.46%     0.46%           217  [.] Int::ModSub                  -      -            
     0.37%     0.36%           173  [.] Int::IsPositive              -      -            
     0.29%     0.00%             0  [.] 0000000000000000             -      -            
     0.28%     0.28%           132  [.] sha256sse_2B                 -      -            
     0.17%     0.17%            80  [.] Int::IMult                   -      -            
     0.09%     0.09%            44  [.] IntGroup::ModInv             -      -            
     0.08%     0.08%            41  [.] Int::Int                     -      -            
     0.07%     0.07%            31  [.] Int::ModNeg                  -      -            
     0.06%     0.06%            26  [k] 0xffffffff90201a60           -      -            
     0.04%     0.04%            17  [.] Int::SetInt32                -      -            
     0.03%     0.03%            14  [.] Int::MontgomeryMult          -      -            
     0.02%     0.00%             0  [.] 0x07a51faea601f2ff           -      -            
     0.02%     0.02%             8  [.] Int::Add                     -      -            
     0.01%     0.01%             6  [.] Secp256K1::ComputePublicKey  -      -            
     0.01%     0.00%             0  [.] 0xb65a23f2b03e7252           -      -            
     0.01%     0.01%             4  [.] Int::Mult                    -      -            
     0.01%     0.00%             0  [.] 0x17961ca0f0a07b31           -      -            
     0.01%     0.00%             0  [.] 0x95228c5b2b8cc905           -      -            
     0.01%     0.01%             3  [.] Secp256K1::Add2              -      -            
     0.01%     0.01%             4  [.] 0x00000000000026e4           -      -            
     0.01%     0.00%             0  [.] 0x000064c74a3f46e4           -      -            
     0.01%     0.00%             0  [.] 0xfeb610f41eb12b27           -      -            
     0.01%     0.00%             0  [.] 0x998cfae4b6ca4276           -      -            
     0.01%     0.00%             0  [.] 0x206eab1042d10e2d           -      -            
     0.01%     0.00%             0  [.] 0xd49fe42a126ad087           -      -            
     0.01%     0.00%             0  [.] 0x15bf50d427692c5a           -      -            
     0.01%     0.00%             0  [.] 0x741d00e80dad3142           -      -            
     0.01%     0.00%             0  [.] 0x58a61bc5734c65ae           -      -            
     0.01%     0.00%             0  [.] 0x29fd7d2cd52035aa           -      -            
     0.01%     0.01%             3  [.] Int::IsGreaterOrEqual        -      -            
     0.01%     0.00%             0  [.] 0x415dd9b86d06aa87           -      -            
